Date and Time,Node Count,Space Pledged (byte),Subspace-CLI nodes,Space Acres nodes,Linux nodes,Windows nodes,macOS nodes,Space Pledged (PiB)
2024-07-21 8:43:10,6248,161108580283377162,,,,,,143.0931642
2024-07-22T18:09:14.077Z,6107,142892461643600889,,,,,,126.9140008
2024-07-23T19:44:35.242Z,5771,150662890124219282,5170,601,4978,786,7,133.8155277
2024-07-23T23:01:00.307Z,5831,150962420394916043,,,,,,134.081564
2024-07-24T02:00:48.540Z,5849,155421009625465236,,,,,,138.0415867
2024-07-29T12:07:02.586Z,5803,148288075431035411,5178,626,4984,811,9,131.7062685
2024-07-30T23:00:49.378Z,5942,154616288540550960,,,,,,137.3268508
2024-07-31T23:00:57.585Z,5785,125469420181425798,,,,,,111.4392313
2024-08-01T11:42:37.123Z,5890,129424047745332737,5374,516,5200,681,9,114.9516462
2024-08-02T00:01:29.995Z,5852,142758189060973700,,,,,,126.7947428
2024-08-03T00:02:12.188Z,5833,145259840273247250,,,,,,129.0166554
2024-08-04T00:01:09.412Z,5861,153808533963658992,,,,,,136.6094206
2024-08-05T00:01:06.616Z,5845,154691507450568139,,,,,,137.3936586
2024-08-06T00:00:55.945Z,5836,144346713496643243,,,,,,128.2056359
2024-08-07T18:00:48.759Z,5747,149022424587314705,5245,501,5055,680,11,132.3585016
2024-08-08T00:01:49.921Z,5700,150232951584721289,5225,475,5029,662,9,133.4336655
2024-08-09T00:00:50.106Z,5772,151038360410256944,5261,511,5071,694,7,134.1490123
2024-08-10T00:01:39.554Z,5760,146264095966231578,5227,533,5040,714,6,129.9086136
2024-08-11T00:02:19.543Z,5756,142414322494562503,5214,542,5029,720,7,126.4893279
2024-08-12T00:01:12.333Z,5733,139875393298229483,5194,539,5009,717,7,124.2343058
2024-08-13T00:02:20.701Z,5771,142153991128173193,5235,536,5039,724,8,126.2581072
2024-08-14T00:00:52.723Z,5613,138594908573383803,5120,493,4949,655,9,123.0970069
2024-08-15T00:01:03.435Z,5637,147628376135150133,5132,505,4960,669,8,131.1203378
2024-08-16T00:01:58.652Z,5701,148549442979529483,5193,508,5016,678,7,131.9384095
2024-08-17T00:01:15.723Z,5641,145724614594686403,5139,504,4968,670,5,129.4294579
2024-08-18T00:01:58.094Z,5718,150528801541118751,5203,515,5020,694,4,133.6964331
2024-08-19T00:01:22.496Z,5682,144265704401105253,5178,504,5002,674,6,128.1336854
2024-08-19T00:01:32.291Z,5682,144265704401105253,5178,504,5001,675,6,128.1336854
2024-08-20T00:02:18.019Z,5736,141378626866985721,5229,507,5049,681,6,125.5694454
2024-08-21T00:01:07.373Z,5689,150087478137681461,5196,493,5024,659,6,133.3044591
2024-08-22T00:01:32.783Z,5680,142519751098941182,5180,499,5028,646,5,126.5829673
2024-08-23T00:00:48.155Z,5679,146812564028759873,5188,491,5021,652,6,130.3957511
2024-08-24T00:02:09.615Z,5682,145846994518553181,5165,517,4999,677,6,129.5381531
2024-08-25T00:01:20.864Z,5592,138824703382696480,5063,529,4901,685,6,123.3011057
2024-08-26T00:00:47.726Z,5591,143546704838092015,5058,533,4897,687,7,127.4950855
2024-08-27T00:01:08.897Z,5579,152732258803002183,5056,523,4896,676,7,135.6534963
2024-08-27T00:01:18.328Z,5579,152732258803002183,5056,523,4896,676,7,135.6534963
2024-08-28T00:02:01.621Z,5589,148542105498302319,5074,515,4910,671,8,131.9318925
2024-08-29T00:00:52.939Z,5542,153298702166905563,5035,507,4876,658,8,136.156599
2024-08-30T00:00:51.807Z,5486,144248156130495108,4975,511,4818,661,7,128.1180994
2024-08-31T00:01:26.699Z,5486,143546359685781217,4960,525,4805,673,7,127.4947789
2024-09-01T00:01:08.761Z,5233,155861542153070275,4710,522,4550,675,7,138.4328582
2024-09-01T00:01:18.498Z,5235,155861542153070275,4713,522,4553,675,7,138.4328582
2024-09-02T00:01:51.332Z,4959,153158078461208047,4456,504,4296,657,7,136.0317001
2024-09-02T00:01:58.714Z,4961,153158078461208047,4456,503,4296,656,7,136.0317001
2024-09-03T00:02:21.171Z,4820,152570176559636725,4325,496,4172,642,7,135.5095383
2024-09-04T00:01:44.122Z,5224,144375981420957822,4714,514,4559,662,7,128.231631
2024-09-05T00:01:49.763Z,5059,153947256487430135,4531,528,4379,675,5,136.732631
2024-09-06T00:01:18.022Z,5031,147960261035016219,4504,527,4343,680,8,131.4151108
2024-09-07T00:01:20.100Z,5025,149598409222537126,4484,541,4330,689,6,132.8700787
2024-09-08T00:02:18.922Z,4835,151553735506219070,4314,521,4161,666,8,134.6067573
2024-09-09T00:02:18.607Z,4721,151313648066349253,4218,503,4062,652,7,134.3935168
2024-09-10T00:00:58.409Z,4745,149460619235565470,4210,535,4049,688,8,132.7476966
2024-09-11T00:00:58.286Z,4729,162154653807673751,4203,526,4042,681,6,144.0222642
2024-09-12T00:01:04.745Z,4880,154804742607930475,4373,507,4220,653,7,137.4942317
2024-09-13T00:01:19.137Z,4941,147372254579732850,4411,530,4251,682,8,130.8928562
2024-09-14T00:00:54.357Z,5101,152141508289086948,4578,523,4413,681,7,135.1288044
2024-09-15T00:00:54.241Z,5138,152291406399819814,4598,540,4427,706,5,135.2619407
2024-09-16T00:01:05.922Z,5107,152927584801205247,4573,534,4406,694,7,135.8269806
2024-09-17T00:00:42.385Z,5131,151873483585590755,4594,537,4424,699,8,134.8907506
2024-09-18T00:01:20.367Z,5114,153124407445855281,4603,511,4440,667,7,136.0017942
2024-09-18T00:01:30.581Z,5117,153124407445855281,4605,512,4441,669,7,136.0017942
2024-09-19T00:00:44.515Z,4975,125377499681912517,4478,497,4356,612,7,111.3575895
2024-09-20T00:01:11.693Z,4809,30349365799450064,4435,374,4357,445,7,26.95565175
2024-09-20T00:01:21.699Z,4805,30349365799450064,4432,373,4354,443,8,26.95565175
2024-09-21T00:00:44.946Z,4966,27736318605172226,4587,379,4515,445,6,24.63479963
2024-09-22T00:00:36.742Z,4932,24948109917550617,4558,374,4494,430,8,22.15837284
2024-09-22T00:00:49.140Z,4932,24948109917550617,4558,374,4494,430,8,22.15837284
2024-09-23T00:00:31.443Z,4905,23683772190172475,4549,356,4488,410,7,21.03541536
2024-09-24T00:00:43.011Z,4903,16389939704471566,4542,361,4486,408,9,14.55719075
2024-09-25T00:01:05.639Z,4902,17766641318396049,4557,345,4502,392,8,15.77994741
2024-09-25T00:01:15.223Z,4903,17766641318396049,4556,347,4501,394,8,15.77994741
2024-09-26T00:01:29.183Z,4913,15720466601977616,4571,342,4521,384,8,13.96257918
2024-09-27T00:00:41.351Z,4862,15429068869671149,4526,336,4477,380,5,13.70376601
2024-09-27T00:00:52.994Z,4863,15429068869671149,4526,336,4477,380,5,13.70376601
2024-09-29T00:00:45.105Z,4796,16916669225576189,4462,334,4417,374,5,15.02502054
2024-09-30T00:00:34.017Z,4761,16618401667246493,4439,322,4397,358,6,14.76010573
2024-09-30T00:00:43.796Z,4760,16618401667246493,4439,321,4397,357,6,14.76010573
2024-10-01T00:01:29.393Z,4699,14786409334158762,4371,328,4329,365,5,13.13296968
2024-10-02T00:01:10.445Z,4771,12039245544741213,4446,325,4408,356,7,10.69299808
2024-10-03T00:01:23.607Z,4670,12959014081098427,4351,317,4318,343,7,11.50991665
2024-10-04T00:01:04.602Z,4838,13448194296051377,4523,315,4485,347,6,11.94439596
2024-10-05T00:00:56.714Z,4887,12344886870104293,4562,325,4522,358,7,10.96446211
2024-10-06T00:01:21.021Z,4812,12367583916275278,4489,323,4453,354,5,10.98462114
2024-10-07T00:00:41.730Z,4712,10773382738189917,4395,315,4360,344,6,9.568686055
2024-10-08T00:01:05.403Z,4730,10845099538248254,4418,312,4384,342,4,9.632383369
2024-10-09T00:01:03.135Z,4661,12180639929946863,4367,294,4337,320,4,10.81858152
2024-10-09T00:01:12.221Z,4657,12180639929946863,4369,294,4339,320,4,10.81858152
2024-10-10T00:00:38.774Z,4655,7199237758515943,4359,296,4322,328,5,6.394207615
2024-10-12T00:00:49.235Z,4663,10651801334122811,4335,328,4312,346,5,9.460700076
2024-10-12T00:00:59.576Z,4663,10651801334122811,4335,329,4312,347,5,9.460700076
2024-10-13T00:00:45.296Z,4654,8.9104E+15,4336,318,4313,337,4,7.914024501
2024-10-13T00:00:54.135Z,4654,8.9104E+15,4336,318,4313,337,4,7.914024501
2024-10-14T00:01:01.163Z,4630,10508947772640139,4310,320,4289,336,5,9.333820625
2024-10-15T00:00:33.720Z,4486,9.10244E+15,4180,303,4159,321,3,8.084587441
2024-10-16T00:00:55.243Z,4297,10846067573298763,3981,316,3960,334,3,9.633243157
2024-10-17T00:01:01.798Z,4227,10766185000134598,3923,304,3902,321,4,9.56229318
2024-10-17T00:01:11.261Z,4228,10766185000134598,3922,304,3902,321,3,9.56229318
2024-10-18T00:00:57.287Z,4241,10829796700446881,3931,310,3909,329,3,9.618791719
2024-10-18T00:01:08.194Z,4241,10829796700446881,3931,310,3909,329,3,9.618791719
2024-10-19T00:00:59.871Z,2520,8359615395481274,2214,307,2192,326,3,7.424829991
2024-10-20T00:01:18.830Z,2215,1.01518E+16,1898,317,1878,334,3,9.016570523
2024-10-21T00:00:29.121Z,2201,10173073309787139,1880,321,1866,332,3,9.035504176
2024-10-22T00:01:10.187Z,1760,9712184162386522,1429,331,1413,344,3,8.626152381
2024-10-23T00:01:23.690Z,1767,10197338678949560,1424,343,1405,358,4,9.057056153
2024-10-24T00:00:21.219Z,1665,10337029385123512,1336,329,1317,345,3,9.181126424
2024-10-24T00:00:31.537Z,1666,10337029385123512,1336,330,1317,346,3,9.181126424
2024-10-25T00:00:52.574Z,1594,9852208238081287,1273,320,1265,325,3,8.750518743
2024-10-25T00:01:02.091Z,1599,9852208238081287,1275,322,1267,327,3,8.750518743
2024-10-26T00:00:46.334Z,1532,7723717178298293,1238,294,1236,293,3,6.860038918
2024-10-27T00:01:28.769Z,1500,7078424844418666,1214,286,1221,276,3,6.286904192
2024-10-28T00:00:24.229Z,1465,6673020235970013,1168,297,1172,289,4,5.926832568
2024-11-06T15:00:46.970Z,1047,2733546110189568,0,0,0,0,0,2.427876664
2024-11-06T15:01:01.467Z,1045,2733546110189568,0,0,0,0,0,2.427876664
2024-11-06T15:01:09.893Z,1062,2733546110189568,0,0,0,0,0,2.427876664